Element;P1;P2;P3
12Mg;0.2410366448480721;-0.20220964935029664;-0.11290113499750068
13Al;0.22021571197977913;0.2414753242243155;0.24906955034003256
14Si;0.21623643738327364;-0.311269999768587;-0.13729853449689722
15P;0.23126812644809766;-0.09503343124385827;0.04789284785591441
16S;0.22070052295139744;-0.08719816743211782;0.03294700036267694
19K;0.2321703007760309;0.10934247657309004;0.14650544200771687
20Ca;0.22719767005231292;0.12012842903417054;0.21827382839278975
23V;0.2106799469443327;-0.18885493902087644;-0.07900278531029863
25Mn;0.07092005827368171;-0.38690217400854426;0.13749451481952957
26Fe;-0.08190971975343907;0.5977262586313503;-0.048455834590933
30Zn;0.38424614344072827;-0.012872293319521269;-0.1535169639254235
38Sr;0.17817849249102005;0.2015028815174558;0.61351204785315
39Y;0.523489501385587;0.06191047338839854;-0.10778194737683766
40Zr;0.17133252840373173;0.3448845408767742;-0.5385641026503976
56Ba;0.23007829869313934;-0.11793794030371414;-0.08868530877557128
81Ti;0.21698616197520626;0.2019840189962271;-0.31126885696828505
