Element;Value;P
12Mg;0.2410366448480721;P1
13Al;0.22021571197977913;P1
14Si;0.21623643738327364;P1
15P;0.23126812644809766;P1
16S;0.22070052295139744;P1
19K;0.2321703007760309;P1
20Ca;0.22719767005231292;P1
23V;0.2106799469443327;P1
25Mn;0.07092005827368171;P1
26Fe;-0.08190971975343907;P1
30Zn;0.38424614344072827;P1
38Sr;0.17817849249102005;P1
39Y;0.523489501385587;P1
40Zr;0.17133252840373173;P1
56Ba;0.23007829869313934;P1
81Ti;0.21698616197520626;P1
12Mg;-0.20220964935029664;P2
13Al;0.2414753242243155;P2
14Si;-0.311269999768587;P2
15P;-0.09503343124385827;P2
16S;-0.08719816743211782;P2
19K;0.10934247657309004;P2
20Ca;0.12012842903417054;P2
23V;-0.18885493902087644;P2
25Mn;-0.38690217400854426;P2
26Fe;0.5977262586313503;P2
30Zn;-0.012872293319521269;P2
38Sr;0.2015028815174558;P2
39Y;0.06191047338839854;P2
40Zr;0.3448845408767742;P2
56Ba;-0.11793794030371414;P2
81Ti;0.2019840189962271;P2
12Mg;-0.11290113499750068;P3
13Al;0.24906955034003256;P3
14Si;-0.13729853449689722;P3
15P;0.04789284785591441;P3
16S;0.03294700036267694;P3
19K;0.14650544200771687;P3
20Ca;0.21827382839278975;P3
23V;-0.07900278531029863;P3
25Mn;0.13749451481952957;P3
26Fe;-0.048455834590933;P3
30Zn;-0.1535169639254235;P3
38Sr;0.61351204785315;P3
39Y;-0.10778194737683766;P3
40Zr;-0.5385641026503976;P3
56Ba;-0.08868530877557128;P3
81Ti;-0.31126885696828505;P3
